unet3+_aspp
Epoch: 53, Acc: 0.6417859812251857, Acc_class: 0.4853467521460266, mIoU: 0.32158923854498944, fwIoU: 0.4872716074562561, best_fwIoU: 0.5812089021377373, Loss: 0.523
Epoch: 54, Acc: 0.4615121747626633, Acc_class: 0.20001188922266736, mIoU: 0.10507073770069734, fwIoU: 0.339435604207883, best_fwIoU: 0.5812089021377373, Loss: 1.306
Epoch: 55, Acc: 0.7088508918637135, Acc_class: 0.5661502456554635, mIoU: 0.42483643237928204, fwIoU: 0.567597572841195, best_fwIoU: 0.5812089021377373, Loss: 0.392
Epoch: 56, Acc: 0.4755729612756948, Acc_class: 0.24958353463905808, mIoU: 0.1368274729303962, fwIoU: 0.3696712808533953, best_fwIoU: 0.5812089021377373, Loss: 1.067
Epoch: 57, Acc: 0.09629778002129226, Acc_class: 0.18132035956606288, mIoU: 0.03803822501254805, fwIoU: 0.026601490221212543, best_fwIoU: 0.5812089021377373, Loss: 2.253
Epoch: 58, Acc: 0.6252804740530545, Acc_class: 0.46187427351454546, mIoU: 0.3025965642825877, fwIoU: 0.4774552346746196, best_fwIoU: 0.5812089021377373, Loss: 0.573
Epoch: 59, Acc: 0.7270846757732454, Acc_class: 0.5933903086369007, mIoU: 0.4519592143693645, fwIoU: 0.5815914251969437, best_fwIoU: 0.5815914251969437, Loss: 0.365
Epoch: 60, Acc: 0.49129758115674627, Acc_class: 0.3243593706667215, mIoU: 0.17602696161346346, fwIoU: 0.35875069023357775, best_fwIoU: 0.5815914251969437, Loss: 1.009
Epoch: 61, Acc: 0.7079681959308561, Acc_class: 0.5754034299007971, mIoU: 0.4277326407051459, fwIoU: 0.5547936279404935, best_fwIoU: 0.5815914251969437, Loss: 0.397
Epoch: 62, Acc: 0.6100793432016842, Acc_class: 0.4025084834397944, mIoU: 0.2574904465939593, fwIoU: 0.4628730195670546, best_fwIoU: 0.5815914251969437, Loss: 0.676
Epoch: 63, Acc: 0.1171640802602299, Acc_class: 0.1849130215412105, mIoU: 0.04250187450100436, fwIoU: 0.048052611685663355, best_fwIoU: 0.5815914251969437, Loss: 2.166
Epoch: 64, Acc: 0.4815287042836674, Acc_class: 0.27101245863706136, mIoU: 0.13537441039603973, fwIoU: 0.31708864288540883, best_fwIoU: 0.5815914251969437, Loss: 1.223
Epoch: 65, Acc: 0.48984846521596437, Acc_class: 0.3412440483692597, mIoU: 0.1857276086909414, fwIoU: 0.36941257143156514, best_fwIoU: 0.5815914251969437, Loss: 0.913
Epoch: 66, Acc: 0.5874745728539639, Acc_class: 0.34271038767419365, mIoU: 0.21899861820202388, fwIoU: 0.3933180313939011, best_fwIoU: 0.5815914251969437, Loss: 0.801
Epoch: 67, Acc: 0.683297016581551, Acc_class: 0.4882461449092741, mIoU: 0.354283000855628, fwIoU: 0.5381856888784633, best_fwIoU: 0.5815914251969437, Loss: 0.433
Epoch: 68, Acc: 0.5435685955110143, Acc_class: 0.3299463584632695, mIoU: 0.20126895485951155, fwIoU: 0.41438929727046403, best_fwIoU: 0.5815914251969437, Loss: 0.752
Epoch: 69, Acc: 0.5285209905905802, Acc_class: 0.3357031739194206, mIoU: 0.20477014586278539, fwIoU: 0.4017570666165076, best_fwIoU: 0.5815914251969437, Loss: 0.914
Epoch: 70, Acc: 0.7168628505018891, Acc_class: 0.6064725052106474, mIoU: 0.45347596435318643, fwIoU: 0.5807981280709286, best_fwIoU: 0.5815914251969437, Loss: 0.384
Epoch: 71, Acc: 0.7197260934798444, Acc_class: 0.627268196491515, mIoU: 0.45791738460237974, fwIoU: 0.5825653016759854, best_fwIoU: 0.5825653016759854, Loss: 0.370
Epoch: 72, Acc: 0.2627321149482102, Acc_class: 0.24513055995691807, mIoU: 0.09543012040755793, fwIoU: 0.1747888755945448, best_fwIoU: 0.5825653016759854, Loss: 1.521
Epoch: 73, Acc: 0.7212504089855757, Acc_class: 0.571253907448541, mIoU: 0.444532572233063, fwIoU: 0.5766095807454305, best_fwIoU: 0.5825653016759854, Loss: 0.370
Epoch: 74, Acc: 0.7078616970875224, Acc_class: 0.5560655018432842, mIoU: 0.4281231353680532, fwIoU: 0.554317919718182, best_fwIoU: 0.5825653016759854, Loss: 0.393
Epoch: 75, Acc: 0.6800192223220575, Acc_class: 0.5658259271219285, mIoU: 0.40136480094509625, fwIoU: 0.5417980104187833, best_fwIoU: 0.5825653016759854, Loss: 0.433
Epoch: 76, Acc: 0.5249144132020044, Acc_class: 0.4558215814205204, mIoU: 0.27550007117592334, fwIoU: 0.39284576015631684, best_fwIoU: 0.5825653016759854, Loss: 0.697
Epoch: 77, Acc: 0.666586766477491, Acc_class: 0.4950700261488203, mIoU: 0.35401912155214765, fwIoU: 0.5142584747836922, best_fwIoU: 0.5825653016759854, Loss: 0.474
Epoch: 78, Acc: 0.5858614249307601, Acc_class: 0.4737434368460233, mIoU: 0.30780405515392867, fwIoU: 0.45165712418515663, best_fwIoU: 0.5825653016759854, Loss: 0.599
Epoch: 79, Acc: 0.4776257999607774, Acc_class: 0.4202184916640115, mIoU: 0.24037706812633158, fwIoU: 0.35032125158131705, best_fwIoU: 0.5825653016759854, Loss: 0.771
Epoch: 80, Acc: 0.5636221776243115, Acc_class: 0.30481471535160043, mIoU: 0.18829315784023753, fwIoU: 0.4302557114670408, best_fwIoU: 0.5825653016759854, Loss: 0.775
Epoch: 81, Acc: 0.09632241921346696, Acc_class: 0.18638425893018912, mIoU: 0.03915909547377248, fwIoU: 0.025097447555132154, best_fwIoU: 0.5825653016759854, Loss: 2.419
Epoch: 82, Acc: 0.7262087024626185, Acc_class: 0.5954885249419586, mIoU: 0.44578392453846083, fwIoU: 0.5763255840610314, best_fwIoU: 0.5825653016759854, Loss: 0.365
Epoch: 83, Acc: 0.5977630927914479, Acc_class: 0.48869476570389425, mIoU: 0.3112396318830345, fwIoU: 0.45945499418113805, best_fwIoU: 0.5825653016759854, Loss: 0.579
Epoch: 84, Acc: 0.638771963901207, Acc_class: 0.4321443782075323, mIoU: 0.28528766219220064, fwIoU: 0.4798759601970268, best_fwIoU: 0.5825653016759854, Loss: 0.579
Epoch: 85, Acc: 0.7022583132884541, Acc_class: 0.5778568109290582, mIoU: 0.4286479908585374, fwIoU: 0.5691740182003362, best_fwIoU: 0.5825653016759854, Loss: 0.406
